objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
245,"Matchmaker: A Farce in Four Acts, The","Wilder, Thornton",08-18,5,6,4,15,TRUE,225,,1955,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from Thornton Wilder's 1938 play The Merchant of Yonkers.,"Horace Vandergelder, a wealthy merchant in 19th Century Yonkers, NY, decides to take a wife and employs a matchmaker, Mrs. Dolly Levi. Dolly subsequently becomes involved with two of Vandergelder’s clerks, several lovely ladies, and the headwaiter at an expensive restaurant where this swift farce runs headlong into hilarious complications. After everyone gets straightened out romantically, Vandergelder finds himself affianced to the astute Dolly Levi herself.",,"Later adapted as the musical Hello, Dolly!",
246,"Memory of Two Mondays, A","Miller, Arthur",08-18,11,2,1,14,FALSE,52,,1955,,"Viking Press, Inc.",TRUE,FALSE,FALSE,,"A one-act fragment about people who work in an automobile parts warehouse in the early Roosevelt days. Properly speaking, it has no plot—yet something does happen to almost everybody. A youth gets a chance to go to college. A drunk reforms. Another drunk rebels. A young man with a song in his soul finds himself forgetting the song as poverty and a lack of opportunity grind him down.",,,
247,"Midsummer Night's Dream, A","Shakespeare, William",08-18,19,5,0,24,TRUE,157,,1600,,Unknown,FALSE,FALSE,FALSE,,"In A Midsummer Night’s Dream, residents of Athens mix with fairies from a local forest, with comic results. In the city, Theseus, Duke of Athens, is to marry Hippolyta, queen of the Amazons. Bottom the weaver and his friends rehearse in the woods a play they hope to stage for the wedding celebrations. Four young Athenians are in a romantic tangle. Lysander and Demetrius love Hermia; she loves Lysander and her friend Helena loves Demetrius. Hermia’s father, Egeus, commands Hermia to marry Demetrius, and Theseus supports the father’s right. All four young Athenians end up in the woods, where Robin Goodfellow, who serves the fairy king Oberon, puts flower juice on the eyes of Lysander, and then Demetrius, unintentionally causing both to love Helena. Oberon, who is quarreling with his wife, Titania, uses the flower juice on her eyes. She falls in love with Bottom, who now, thanks to Robin Goodfellow, wears an ass’s head. As the lovers sleep, Robin Goodfellow restores Lysander’s love for Hermia, so that now each young woman is matched with the man she loves. Oberon disenchants Titania and removes Bottom’s ass’s head. The two young couples join the royal couple in getting married, and Bottom rejoins his friends to perform the play.",,The copy that is filed is very heavily edited. You should probably use a clean copy.,
248,"Mill Race, The","Tamburro, Frances",04-18,17,15,11,43,TRUE,74,,1976,,Unknown,TRUE,FALSE,TRUE,Adapted from an oral history interview with textile union organizer Joe Glazer: Digital Collections Repository - E0005_Transcript.pdf (unc.edu),"Two families in Gastonia between the early 1900s and the 1960s and the fight for unionization of their textile mill. Includes flashbacks to the founding of the mill, the exploitation of women and children as mill workers, and the Loray Mill Strike of 1929.",,"This play is deeply fascinating. It is based on an oral history interview conducted as part of the Southern Oral History Program's Labor History Series with textile union organizer Joe Glazer, conducted by Frances Tamburro, one of the authors of the script. (https://dcr.lib.unc.edu/record/9cf7989d-be0f-49ab-8301-ec67117ad24b) Two typed copies; these look like proofs but the play may not have been formally printed. One copy is missing pages 1-2 and the other is interspersed with notes regarding set design, names, phone numbers, and rehearsal dates, so it was obviously performed by someone at some point.",
249,Mind Over Matter,"Nicholson, Jessie",04-10,6,6,0,12,FALSE,17,,1969,,"Plays, Inc.",FALSE,FALSE,FALSE,,"Two girls try to stage a play for the people in a local store, though most of the audience isn't impressed.",,"Found in Prize Contest Plays for Young People: A Collection of Royalty-Free, One-Act Plays for Drama Contests and Festivals.",
250,Ming Lee and the Magic Tree,"Harris, Aurand",04-12,9,6,0,15,TRUE,17,Folktales,1981,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Based on a Chinese folktale,"Tells the story of a Prince who, if he can find a happy man, can marry the Princess of the Stars. In his search he gives Ming Lee, a stonecutter, a circle of wishes, each of which Ming Lee thinks will make him happy, but he discovers fine hats do not make a fine head.",,Found in Plays Children Love; performed in a traditional Chinese style with a chorus.,
251,Miracle at Blaise,"Niggli, Josephina",08-18,0,6,0,6,FALSE,21,,1944,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"This miracle play is set during Christmas Eve of 1941 and explores the theme of redemption as the lead character, Madeleine Giraud, is reminded of her ruthless past by a stranger named Tabitha and is given the chance to redeem herself and atone for the mistakes she has made.",,,
252,"Miracle of Saint Antony, A","Maeterlinck, Maurice",04-18,4,4,5,13,TRUE,21,,1918,,"Dodd, Mead and Company, Inc.",FALSE,FALSE,FALSE,,"The play revolves around a small village in the middle of nowhere, where the people are struggling to survive. One day, a mysterious traveler arrives in the village, claiming to be on a pilgrimage to see a miraculous statue of Saint Anthony that is said to reside in the nearby chapel. As the traveler spends time in the village, he starts to unravel the secrets and stories of the people who live there. From the village priest who has lost his faith, to the young couple who are struggling with their marriage, to the old woman who has lived in the village all her life and has seen the many changes that have taken place, each character has their own tale to tell. As the traveler's pilgrimage to the chapel becomes more urgent, he begins to perform small miracles along the way, which slowly start to change the lives of the villagers. In the end, the miracle of Saint Anthony is revealed to be much more than just a simple statue, as the traveler's presence in the village has helped to heal old wounds and bring new hope to a community in need.",,Can be accessed from Project Gutenberg at https://www.gutenberg.org/files/70550/70550-h/70550-h.htm,
253,"Mirror, Mirror","Kane, Bruce",08-18,4,3,0,7,TRUE,11,,2013,,lulu.com,TRUE,FALSE,TRUE,Based on Sleeping Beauty.,"In a land where ""beauty is only skin deep - thank God"" a ""woman of a certain age"" takes drastic action when she learns that she's been surpassed in the looks department by her sexy stepdaughter as the tale of ""Sleeping Beauty"" gets a 90210 face lift.",,"This looks like a draft - I'm not sure how YPPC ended up with it, but it does not precisely match the published version on the author's website. https://www.kaneprod.com/plays/zip/mirror.pdf",
254,"Mish-Mosh Bird, The","Murray, John",10-18,3,3,8,14,TRUE,22,,1959,,"Plays, Inc.",FALSE,FALSE,FALSE,,"A family thought they were buying a pet parrot, only to end up with a vanishingly rare fortune-telling bird with an eidetic memory. The family has trouble dealing with the ensuing fame.",,,
255,Miss Bennet: Christmas at Pemberly,"Gunderson, Lauren",08-18,3,5,0,8,FALSE,70,,2017,,Dramatists Play Service Inc.,TRUE,FALSE,TRUE,Based on Jane Austen's novel Pride and Prejudice.,"A sequel to Jane Austen’s Pride and Prejudice set two years after the novel ends, MISS BENNET continues the story, only this time with bookish middle-sister Mary as its unlikely heroine. Mary is growing tired of her role as dutiful middle sister in the face of her siblings’ romantic escapades. When the family gathers for Christmas at Pemberley, an unexpected guest sparks Mary’s hopes for independence, an intellectual match, and possibly even love.",,,
256,"Moments (Unknown Year, Band-aid label)","Stephens, Jeffryn (arr.)",08-18,0,0,26,26,TRUE,55,,,Unknown,Varied,TRUE,FALSE,FALSE,Some of the scenes are adaptations of other stories or plays.,"Includes scenes from The Great Train Robbery, The Dead Parrot Sketch, Crunchy Frog, NPR Report, Who's on First, Words, Words, Words, Constitutional Peasants, Migrating Coconuts, and Mere Mortals.",,"This might be from 2019 as there is a class schedule pamphlet in the binder from that year. However, none of the other materials are dated so I went with Unknown year. The label for this binder is a band-aid. Might need a new label.",
257,Moments 1992,"Stephens, Jeffryn (arr.)",08-18,0,0,16,16,TRUE,40,,1992,,Various,TRUE,FALSE,TRUE,Some of the scenes are adaptations of other stories or plays.,"Includes scenes and monologues from Deferred, Johnny Got His Gun, Trifles, Toys in the Attic, Bell, Book, and Candle, This Property is Condemned, Victoria, The Thing Under My Bed, Sex and Violence, Incoherence, and Greater Tuna.",,,
258,Moments 1997,"Stephens, Jeffryn (arr.)",08-18,0,0,20,20,TRUE,89,,1997,,Varied,TRUE,FALSE,FALSE,Some of the scenes are adaptations of other stories or plays.,"Includes scenes from The Glass Menagerie, I'm Herbert, Bell, Book, and Candle, Steel Magnolias, The Actor's Nightmare, The Crucible, Scapino, and a scene by Rachel Bell.",,,
259,Moments 2009,"Stephens, Jeffryn (arr.)",08-18,0,0,8,8,TRUE,34,,,Unknown,Various,TRUE,FALSE,TRUE,Some of the scenes are adaptations of other stories or plays.,"Includes scenes and monologues from Man in a Box, The Women, Sure Thing, The Audition, DMV Tyrant, STOA, Precious Keepsakes, Monty Python's Burglary sketch, Daughters of Hardship, Circles in the Sand, and One Leg Too Few.",,,
260,Moments 2011,"Various,",08-18,0,0,12,12,TRUE,37,,2011,,Various,TRUE,FALSE,TRUE,Some of the scenes are adaptations of other stories or plays.,"Scenes and monologues, including from The Cave by Tim Kelley, Sharks, Pencils, and Ben Affleck, Migrating Coconuts by Monty Python, Arabian Nights by David Ives, Constitutional Peasants by Monty Python, STOA from Bob and Ray, The Knights Who Say Ni by Monty Python, Like Dreaming Backwards, The Still Alarm by George Kaufman, Marco Polo Sings a Solo, Romeo and Juliet by William Shakespeare, and How to Tell a Witch by Monty Python.",In the binder with The Prince and the Pauper.,,
261,Moments 2024,"Sabatini, Jessica (arr.)",08-18,18,13,0,31,TRUE,58,,,Various,Varied,FALSE,FALSE,TRUE,Some of the scenes are adaptations of other stories or plays.,"A series of small 2-5 person scenes, including riffs on Henry V, Romeo and Juliet, the Euphio Experiment, and other scenes.",,,
262,Moments: Unknown Year,"Various,",12-18,3,6,0,9,TRUE,53,Comedy,,Various,Various,TRUE,FALSE,FALSE,,"Moments that is unlabeled, includes I'd Like to Report a Burglary, One Leg too Few, the Women, The Audition, STOA, Man, I'm in a Box, DMY Tyrant and Sure Thing.",,,
263,"Monkey Without a Tail, The","Winther, Barbara",04-10,3,2,0,5,TRUE,7,,1976,,"Plays, Inc.",FALSE,FALSE,TRUE,Based on Ethiopian tale told by Amhara tribe.,A clever monkey convinces King and Queen that honey brought by poor man is the best in the kingdom.,,,
264,"Monkey's Paw, The","Parker, Louis N.",08-18,3,1,2,6,FALSE,20,,1910,,"Samuel French, Inc.",FALSE,FALSE,TRUE,Based on the short story by W.W. Jacobs.,"In the story, three wishes are granted to the owner of The Monkey's Paw, but the wishes come with an enormous price for interfering with fate.",,,
265,Monologue from the movie Stargirl,"Unknown,",12-18,0,0,1,1,FALSE,1,Monologue,2024,,Unknown,TRUE,FALSE,TRUE,From the movie Stargirl,A monologue about slowing down and watching the world around you.,,,
266,Monologue from the movie Up in the Air,"Unknown,",12-18,0,0,1,1,FALSE,1,Monologue,2024,,Unknown,TRUE,FALSE,TRUE,From the movie Up in the Air,A monologue about letting go.,,,
267,Monty Python: Scenes,"Chapman, Graham",08-18,2,1,1,4,TRUE,3,Comedy,1975,,Python (Monty) Pictures,TRUE,FALSE,TRUE,"Adapted from the Monty Python and the Holy Grail scene between King Arthur, Patsy, and two peasants.","These scenes are mostly adapted from Monty Python and the Holy Grail, but also include the Dead Parrot Sketch and others from Monty Python's Flying Circus",,,
268,Monty Python's Dead Parrot Sketch,"Python, Monty",08-18,0,0,2,2,FALSE,2,,1989,,Pantheon,TRUE,FALSE,FALSE,,"A shopkeeper tries to sell a man a parrot. The parrot is very, very dead.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".","Written by the Monty Python acting troupe: Graham Chapman, Eric Idle, Terry Gilliam, Terry Jones, John Cleese, and Michael Palin.",
269,Mosaic: A Collection of Staged Poetry,"Sabatini, Jessica (arr.)",12-18,6,5,0,11,TRUE,65,,1995,,Various,TRUE,FALSE,TRUE,This is a series of staged poetry.,"Includes The Opening of the Trunk by Jim Morrison, Dulce et Decorum Est by Wilfred Owen, The Fox by Philip Levine, Incident by Countee Cullen, Oh who is that young sinner by A. E. Housman, Snow White and the Seven Deadly Sins by R. S. Gwynn, We Real Cool by Gwendolyn Brooks, and a musical score for Sweet Charity that combines You Should See Yourself and Big Spender by Neil Simon.",,,
270,Mother Goose on the Loose,"Stephens, Jeffryn",04-08,4,4,3,11,TRUE,14,Folktales,1986,,YPPC,FALSE,FALSE,TRUE,Mother Goose,A series of nursery rhymes with a singular narrator.,,,
271,Mother Jones,"Ranson, Rebecca",14-18,4,3,3,10,FALSE,23,,,1960s,Unknown,TRUE,FALSE,FALSE,,A 1960s retrospective of Mother Jones and the establishment of the labor movement.,,"This is a Ranson draft that is included with other, disconnected drafts.",
272,"Mouse that Roared, The","Sergel, Christopher",08-18,14,16,0,30,TRUE,90,,1963,,Dramatic Publishing,TRUE,TRUE,TRUE,Based on the book by Leonard Wibberley.,"A pretty girl of 22 happens to be the present Duchess Gloriana, sovereign of a microscopic country in the Alps founded centuries ago by a roving band of English bowmen. Gloriana's unique solution to the near bankruptcy of her tiny domain is to declare war on the U.S.! There's some method to her madness, however, for her study of recent history suggests that the surest way to wealth today is to lose a war with the United States, for that country's odd reaction is to pour aid, relief and rehabilitation on the vanquished. When her ""declaration"" is considered a prank, Gloriana decides to escalate! Tully Bascomb, presently in charge of the bowmen, is to launch an attack so they can surrender and reap the rewards. Serious-minded Tully, however, upsets all calculations when he and his bowmen do the last thing expected—they win!",,,
273,"Mousetrap, The","Christie, Agatha",12-18,5,3,0,8,FALSE,67,Mystery,1952,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"During a heavy snowstorm, newlyweds Mollie and Giles Ralston prepare to open Monkswell Manor for their first guests: the nitpicky Mrs. Boyle; the cagey Miss Casewell visiting from abroad; the young architect Christopher Wren; the good-natured Major Metcalf; and the roguish, unexpected guest Mr. Paravicini. As the snow proves impassable, Detective Sergeant Trotter arrives on skis with news that connects the manor to a mysterious murder in London. When the phone lines are cut and a guest turns up dead, everyone becomes a suspect. Will the killer be discovered in time?",,"This is missing the first few pages of the script, as well as in-script stage direction. It looks like someone typed out all the dialogue.",
274,Mr. Aesop,"Glasner, Anne",04-12,0,0,11,11,,46,,1979,,Open Source,FALSE,TRUE,TRUE,Adapted from Aesop's Fables.,"Multiple versions. A collection of fables credited to Aesop, a slave and storyteller who lived in ancient Greece between 620 and 564 BCE.",,Can add additional actors; this play is told as a series of fables with a common narrator. Small cast version is included.,
275,Mr. Pickwick,"Young, Stanley",08-18,14,8,3,25,FALSE,178,,1952,,Random House,TRUE,FALSE,TRUE,Adapted from Charles Dickens' The Pickwick Papers,"The play is based on Charles Dickens' novel The Pickwick Papers and follows the adventures of the title character, Mr. Pickwick, and his friends as they travel through England in the 19th century. The play features a cast of colorful characters, including the bumbling Mr. Pickwick, his loyal servant Sam Weller, the conniving Jingle, and the romantic Tupman. The play is filled with witty dialogue, slapstick humor, and heartwarming moments as the characters navigate their way through various mishaps and misadventures. Overall, Mr. Pickwick: A Comedy Freely Drawn From Charles Dickens' The Pickwick Papers is a delightful and entertaining play that captures the spirit of Dickens' beloved novel.",,,
276,Mr. Timbral's Reckoning,"Whiteley, M.",10-18,2,1,0,3,FALSE,9,,1972,,Littell and Co.,TRUE,FALSE,FALSE,,The ghosts of two drowned sailors pretend to be hermits to drive people who come to their cave mad.,,"Found in the book Man and His Imagination edited by Hannah Beate Haupt, Lilla Heston, Joy Lettell, and Sarah Solotaroff",
277,Mrs. McThing,"Chase, Mary Coyle",08-18,4,10,5,19,TRUE,65,,1949,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"A little girl has slipped past the gatekeeper and over the garden wall to play with a lonely and put-upon lad. She is quickly shooed out by his mother as 'trash.' It just so happens that the little girl's mother is a witch, and an experienced one. She takes her revenge by supplying Mrs. Howard V. Larue III with the very little paragon she has always longed for, meanwhile spiriting the real and unruly boy off to a life of crime in the Shantyland Pool Hall Lunchroom. Mother is at first delighted with the impostor's perfection, then suspicious, then dismayed. When she learns the truth and sets out to reclaim her own nine-year-old mobster, she unwittingly and very foolishly crosses the same little girl, who promptly puts the finger on her and assigns her the role of washing dishes for the gang. By the time mama has been knocked about a bit and come to appreciate the sterling qualities of an ordinary roughneck, she is happy enough to take the boy back on his own terms, and to adopt the little witch-girl into the bargain.",,"Originally published in 1949, republished in 1952. There is one folder that has a fragment of this play.",
278,Murder at the Vicarage,"Toy, Barbara",10-18,6,6,0,12,FALSE,78,,1949,,"Samuel French, Inc.",TRUE,FALSE,TRUE,"Adapted from Agatha Christie's novel by the same name, it is rumored that she wrote the play and the two playwrights edited enough to be able to take credit. Either way, she was incredibly enthuiastic about it, and attended performances in the first season.","When the Parson declares rather carelessly 'Anyone who murdered Colonel Prothero would be doing the world at large a service !', he does not realise his words will come back to haunt him. From several potential murderers, Miss Marple must find the real killer.",,The other playwright is Moie Charles.,
279,Murder in Retrospect/Go Back for Murder,"Christie, Agatha",10-18,6,4,0,10,FALSE,80,Mystery,1960,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from Agatha Christie's novel Five Little Pigs.,"After receiving a letter from beyond the grave, Carla Crale believes her mother, who died in prison, was wrongly convicted of her father’s murder. In a passionate attempt to clear her name, she persuades those present on the day of her father’s death to return to the scene of the crime and ‘go back’ 15 years to recount their version of events. An unusual take on the traditional murder mystery, the play slips seamlessly from past to present, examining the danger of relying on personal testimony warped by time, prejudice and perception. By studying each suspect’s testimony, and the various inconsistencies among them, the drama arrives at a disturbing and terrible truth.",,This is not in great shape (typewritten; acidic paper); you'll probaby need a clean copy to perform.,
280,"Music Man JR, The","Wilson, Meredith",10-18,12,10,0,22,TRUE,105,,1957,,Music Theater International,TRUE,TRUE,TRUE,This is the JR version of the musical The Music Man.,"Master showman Harold Hill is in town and he’s got “seventy-six trombones” in tow. Can upright, uptight Marian, the town librarian, resist his powerful allure? The story follows fast-talking traveling salesman, Harold Hill, as he cons the people of River City, Iowa, into buying instruments and uniforms for a boys' band he vows to organize. The catch? He doesn't know a trombone from a treble clef. His plans to skip town with the cash are foiled when he falls for Marian, whose belief in Harold’s power just might help him succeed in the end in spite of himself.",,,
281,"Musical Comedy Murders of 1940, The","Bishop, John",12-18,5,5,0,10,TRUE,111,,1987,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The creative team responsible for a recent Broadway flop (in which three chorus girls were murdered by the mysterious “Stage Door Slasher"") assemble for a backer’s audition of their new show at the Westchester estate of a wealthy “angel.” The house is replete with sliding panels, secret passageways, and a German maid who is apparently four different people—all of which figure diabolically in the comic mayhem which follows when the infamous “Slasher” makes his reappearance and strikes again—and again. As the composer, lyricist, actors, and director prepare their performance, and a blizzard cuts off any possible retreat, bodies start to drop in plain sight, knives spring out of nowhere, masked figures drag their victims behind swiveling bookcases, and accusing fingers point in all directions. However, and with no thanks to the bumbling police inspector who snowshoes in to investigate, the mystery is solved in the nick of time and the “Slasher” unmasked—but not before the audience has been treated to a sidesplitting good time and a generous serving of the author’s biting, satiric, and refreshingly irreverent wit.",,,
282,My Apology,"Allen, Woody",14-18,5,0,0,5,FALSE,8,,1975,,Ballantine Books,TRUE,FALSE,FALSE,,"An irreverant reflection on Socrates and his death, centering the perspective of the author.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,
283,My Client Curley,"Corwin, Norman",08-14,1,2,23,26,TRUE,,,1940,,TheatreBC Script Library,TRUE,FALSE,TRUE,Based on an unpublished story by Lucille Fletcher.,"Young Stinky and his new agent are thrust headfirst into the hustle-bustle of Hollywood, with every newsmaker and entertainer vying for Curley’s unique talents.",,Originally conceived as a radio play.,
284,"Mystery at Twicknam Vicarage, The","Ives, David",14-18,3,2,0,5,FALSE,14,Comedy;Mystery,1989,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,There’s a body on the carpet. Three ridiculous Masterpiece Theatre-style suspects and a bumbling Scotland Yard detective solve philosophical quandaries as they investigate: Who killed Jeremy Thumpington-Fffienes?,,,
505,Mystery Liner,"Murray, John",08-18,7,6,0,13,FALSE,20,Mystery,1979,,"Plays, Inc.",TRUE,FALSE,FALSE,,"Little do passengers on board the cruise ship Venture expecr that in addition to sun, good food, and pleasant companions, their ocean voyage will include murder.",,,
285,Naomi in the Living Room,"Durang, Christopher",16-18,1,2,0,3,FALSE,6,Comedy,1998,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Naomi, when visited by John and Johnna, her son and daughter-in-law, is alternately friendly and insulting. Johnna copes her best, but when John changes his clothes to look like Johnna, things start to unravel. Naomi barely notices any differences, but throws them both out of the house, then decides she’s had a nice time!",,,
286,Never Too Old,"Clements, Colin",14-18,0,4,0,4,FALSE,18,,1937,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"An aging actress, used to roles as the sex interest, tries to come to grips with middle age. Meanwhile, her friend and playwright conspires to keep her in the same type of roles.",,From the collection Ladies Alone by Colin Clements and Florence Ryerson.,
287,"New Broom, The","Hark, Mildred",04-10,3,3,4,10,FALSE,11,,1955,,"Boston Plays, Inc.",FALSE,FALSE,FALSE,,"A family is house hunting, and tours a house that is haunted. One of the daughters likes the spooky atmosphere, so she stays behind to clean up and overhears a coven of witches planning some Halloween mischief.",,"Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",
288,"New Life, A","Laird, Paula",14-18,1,3,0,4,FALSE,27,,,Unknown,Unknown,TRUE,FALSE,FALSE,,"A man's new wife goes into labor, while his ex wife talks with their daughter.",,,
289,Night Must Fall,"Williams, Emlyn",12-18,4,5,0,9,FALSE,87,,1935,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"When the imperious, embittered Mrs. Bramson learns that her young maid Dora is pregnant, she summons the child's presumed father to her bungalow. The young man, Dan, is charming but mysterious. Could he be responsible for the recent murder and beheading of a local woman, and could Mrs. Bramson be his next victim? Skillfully, Dan insinuates himself into Mrs. Bramson's affections and attemps to seduce her skeptical niece, Olivia. Despite strong suspicions of Dan's diabolical intentions, Olivia finds herself attracted to, and fascinated by, the young man. Emlyn Williams' classic thriller, a hit on stage and screen, provides thrills and surprises for audiences of any era.",,,
290,"Nina in the Morning (Act II of Durang, Durang)","Durang, Christopher",12-18,3,1,0,4,FALSE,8,Comedy,1994,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Nina in the Morning is a mysterious, funny play about an extremely wealthy, narcissistic woman named Nina. Her face lift has fallen this morning, and her plastic surgeon is unreachable, on vacation in Aruba. She has three children (all played by the same actor), two of whom keep trying to kill her; the third one is the mentally challenged girl LaLa, whom Nina keeps accusing of being “willfully retarded.” While her servant Foote follows her bidding (including giving one of her sons a knockout shot; Foote used to be a dentist), an elegant Narrator describes past events in Nina’s life which she recalls and sometimes relives (many seductions, especially of chauffeurs and house painters). Finally one of her children shoots her in the shoulder, and Nina becomes discouraged and considers suicide. On the other hand, it’s near lunch time. She’s left debating to herself: “Death… or lunch. Death…. or lunch.”",,,
291,No Personality,"Martin, Jane",12-18,0,1,0,1,FALSE,1,Monologue,2020,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"One monologue from Vital Signs. The author of Talking With and other hits has never been funnier or more compelling than in this suite of theatrical miniatures over thirty two minute monologues. The two men in the cast are optional foils for the six compelling women who perform a collage about contemporary woman in all her warmth and majesty, her fear and frustration, her joy and sadness. Vital Signs wowed audiences at the Humana Festival at Actors Theatre of Louisville, where it was directed of Jon Jory whose notes are published with the play.",,,
292,Noises Off,"Frayn, Michael",08-18,5,4,0,9,FALSE,62,,1982,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Called “the funniest farce ever written,” Noises Off presents a manic menagerie of itinerant actors rehearsing a flop called Nothing’s On. Doors slamming, on and offstage intrigue, and an errant herring all figure in the plot of this hilarious and classically comic play.",,,
293,Not My Fault,"Durang, Christopher",14-18,2,2,0,4,FALSE,52,Drama,1995,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"A serious play about alcoholism, written for school audiences, to trigger discussions about addiction and denial. Jack denies he is an alcoholic, while his ex-wife says he is. He gets arrested for stealing and looks to his mother, Selina, and brother, Harry, for help. Selina drinks wine all day and is overly protective of Jack, and never calls him on the ill he’s done. Harry, is sick of both his brother and mother.",,,
294,Nothing Rhymes with Orange,"Best, Alicia",08-18,0,0,3,3,FALSE,11,Comedy,2005,,YPPC,TRUE,FALSE,FALSE,,A man in a coffeehouse keeps harrassing a woman who is just trying to write.,,,
295,NPR Report,"Keillor, Garrison",12-18,0,1,1,2,FALSE,4,,1985,,Unknown,TRUE,FALSE,FALSE,,An overseas NPR report is coming through unclearly. It frustrates the reporter and the correspondent.,,,
296,"Odd Couple - Scene from Act III, The","Simon, Neil",12-18,6,2,0,8,FALSE,10,,1965,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"This classic comedy opens on a friendly card game in the untidy apartment of divorced Oscar Madison. And if the mess is any indication, it’s no wonder that his wife left him. Late to arrive is Felix Ungar, who has just been separated from his wife. Fastidious, depressed, and none too tense, Felix seems suicidal, but as the action unfolds, Oscar becomes the one with murder on his mind when the clean freak and the slob ultimately decide to room together. The action unfolds with hilarious results as The Odd Couple is born.",,Act III Scene 1. This is found in the folder with Ladies Alone and the monologue from Solitaire/Double Solitaire.,
297,"Odd Couple (Female Version), The","Simon, Neil",10-18,2,6,0,8,FALSE,94,,1984,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from The Odd Couple by Neil Simon.,"Unger and Madison are at it again! Florence Unger and Olive Madison, that is, in Neil Simon's hilarious contemporary comic classic: the female version of The Odd Couple. Instead of the poker party that begins the original version, Ms. Madison has invited the girls over for an evening of Trivial Pursuit. The Pidgeon sisters have been replaced by the two Constanzuela brothers. But the hilarity remains the same.",,There is performance release agreement at the front of the binder from 2012 that states that the play must be done as written with no attempts to soften or obscure the language.,
298,Oedipus the King,"Sophocles,",12-18,4,1,4,9,TRUE,75,,429,BCE,Unknown,FALSE,FALSE,FALSE,,"Oedipus, in Greek mythology, the king of Thebes who unwittingly killed his father and married his mother. Homer related that Oedipus's wife and mother hanged herself when the truth of their relationship became known, though Oedipus apparently continued to rule at Thebes until his death.",,"Three additional books are included: they are typed and titled ""Narration and Scenes from Oedipus the King""",
299,Of Mice and Men,"Steinbeck, John",10-18,9,1,0,10,FALSE,64,,1938,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Based on John Steinbeck's novella of the same name.,"Two drifters, George and his friend Lennie, with delusions of living off the ""fat of the land,"" have just arrived at a ranch to work for enough money to buy their own place. Lennie is a man-child, a little boy in the body of a dangerously powerful man. It's Lennie's obsessions with things soft and cuddly, that have made George cautious about with whom the gentle giant, with his brute strength, associates. His promise to allow Lennie to ""tend to the rabbits"" on their future land keeps Lennie calm, amidst distractions, as the overgrown child needs constant reassurance. But when a ranch boss' promiscuous wife is found dead in the barn with a broken neck, it's obvious that Lennie, albeit accidentally, killed her. George, now worried about his own safety, knows exactly where Lennie has gone to hide, and he meets him there. Realizing they can't run away anymore, George is faced with a moral question: how should he deal with Lennie before the ranchers find him and take matters into their own hands.",,,
300,Old Dry Frye: A Grandfather Tale,"Smith, Miranda",04-12,1,3,10,14,TRUE,10,Folktales,1986,,Unknown,TRUE,FALSE,TRUE,Based on the Grandfather tale,"Little Old Lady and Little Old Feller settle down for some tasty fried chicken when they hear the ghostly voice of Old Dry Frye comin' across the wind. As Little Old Lady sets off for the creek to wash another plate, we are taken back in time to an earlier day when Old Dry Frye used to come regularly to Sunday dinner. Folks always set an extra plate because everybody knows about Old Dry Frye and his voracious appetite. As Old Dry Frye visits his flock—always at dinner time—the families of Troublesome Creek try unsuccessfully to hide their food from him. One day, the preacher man chokes on a chicken bone and keels over—kerplop! The whole community then passes the remains of Old Dry Frye off like a hot potato, trying to shed the body, lest one of them gets stuck with the blame for his ""passing.""",,,
