objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
27,Arsenic and Old Lace,"Kesselring, Joseph",10-18,11,3,0,14,FALSE,88,Comedy,1939,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Drama critic Mortimer Brewster’s engagement announcement is upended when he discovers a corpse in his elderly aunts’ window seat. Mortimer rushes to tell Abby and Martha before they stumble upon the body themselves, only to learn that the two old women aren’t just aware of the dead man in their parlor, they killed him! Between his aunts’ penchant for poisoning wine, a brother who thinks he’s Teddy Roosevelt, and another brother using plastic surgery to hide from the police—not to mention Mortimer’s own hesitancy about marriage—it’ll be a miracle if Mortimer makes it to his wedding. Arsenic and Old Lace is a classic black comedy about the only thing more deadly than poison: family.",,,
28,Arya monologue from Stargirl,"Hart, Kristin",12-18,0,0,1,1,FALSE,1,Monologue,2020,,Disney,TRUE,FALSE,FALSE,,Arya reflects on how fast things move and tries to remind folks to slow down.,,,
29,"As If, Cassandra","Pizzarello, Jason",12-18,2,9,4,15,FALSE,2,Mythology,2020,,Stage Partners,TRUE,FALSE,TRUE,Adapted from Greek mythology,"Everybody's whispering: Something's wrong with Cassie. She walked out on her squad mid-routine; won't help her mom put up Christmas decorations; suddenly wants to back out of prom plans. Well, Cassie hears taunts about how fate is inescapable in every cheer, her mom doesn't seem to notice it's February, and she's haunted by premonitions of something terrible that will happen if prom night continues as planned. So, SORRY if she is being a little WEIRD, people. But does seeing her fate mean that she can change it? Heathers meets the Greek tragedy of Cassandra in this drama glinting with dark wit.",,A two-person scene from this play.,
30,Ashes,"Rudkin, David",16-18,2,2,0,4,,54,Drama,1977,,Concord Theatricals,TRUE,FALSE,FALSE,,"Anne and Colin are a thirty-ish British couple who desperately want a child. With stark realism, harrowing insight, and dark humor, their efforts to achieve this blessing are portrayed as the embers of their hope become the ashes of their dreams and with bitter experience they summon the strength and love to go on.",,Script is incomplete. This also deals with some pretty explicit sexual themes.,
31,Ask Any Girl,"Wolfe, Winifred",12-18,5,12,0,17,FALSE,68,Comedy,1960,,Origin Theatrical,TRUE,FALSE,FALSE,,Meg Wheeler felt stifled in her small hometown where she's just graduated from college. So Meg comes to New York intent on enlarging her horizon -- and by that she means finding a husband.,,,
32,Atticus monologue from Up in the Air,"Reitman, Jason",12-18,0,0,1,1,FALSE,1,Monologue,2009,,Paramount Pictures,TRUE,FALSE,FALSE,,Atticus reflects on attachments to stuff.,,,
33,Aunt Dan and Lemon,"Shawn, Wallace",16-18,6,6,0,12,,45,Drama,1985,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The action begins in the London flat of Lenora (Lemon), a rather frail, introspective young woman who tells us, with a chilling calm, why she rather admires the Nazis for their “refreshing” lack of hypocrisy, and who then, in a series of flashbacks, explains how she came to hold these views. We meet her abrasive American-born father, to whom profit and business success are foremost, and her retiring mother who wishes that love and kindness were more prevalent but is easily reconciled to their absence. But, most important, we meet a family friend, Danielle (known as Aunt Dan), an Oxford don obsessed with defending Henry Kissinger’s policies in Vietnam. Beguiling Lemon with tales of her wild days as an Oxford student, and of the amoral escapades of her diverse and often dissolute friends (depicted in brief, disquieting vignettes), Aunt Dan becomes the central force in Lemon’s life, eventually corrupting Lemon’s moral views to the point where even Aunt Dan’s death elicits no compassion. Instead Lemon, in a final, chilling monologue, methodically makes the case that bullies are our natural masters—and that reasonable man is, by nature, an armed killer who destroys others not only because it is necessary for survival but because it gives him pleasure.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,
34,Babel's in Arms,"Ives, David",14-18,2,1,0,3,FALSE,9,Satire,2000,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Two blue-collar Mesopotamian construction workers are handed a provocative task: Build the Tower of Babel—or else. How many stones does it take to get to heaven, anyway?",,,
35,Bang!,"Stephens, Jeffryn",14-18,8,10,1,19,,48,Drama,1984,,YPPC,FALSE,FALSE,FALSE,,There's a hostage situation at a bus station.,,There are lyrics for this play but no score is included.,
36,"Baratie, The from One Piece","Sabatini (adapted), Sebastian",10-18,0,0,8,8,FALSE,3,Comedy,2025,,YPPC,TRUE,FALSE,TRUE,Adapted from the One Piece anime and manga,The crew visits a restaurant.,,Adapted by Sebastian Sabatini for Moments 2025.,
37,Bata's Lessons: A Tale from Ancient Egypt,"Winther, Barbara",08-18,3,3,7,13,TRUE,10,Folktales,1976,,"Plays, Inc.",FALSE,FALSE,TRUE,"A child-friendly adaptation from the Tale of the Two Brothers, an Egyptian myth that comes down to us from the reign of Seti II (reign 1200-1194 BCE).","The gods make a wife for Bata. They live in peace for a while, until he is murdered and his wife is kidnapped by the Pharaoh. Bata comes to her in the form of a bull to win her back.",,,
38,Beans!,"Schuch, Joe",06-12,3,2,6,11,,27,Folktales,1988,,"Joseph N. Schuch, Jr.",TRUE,FALSE,TRUE,Adapted from Jack and the Beanstalk,"""Jack and the Beanstalk"" is the best known of the ""Jack tales"", a series of stories featuring the archetypal English hero and stock character Jack.",,,
39,"Bell, Book, and Candle, scene","van Druten, John",14-18,0,2,0,2,FALSE,6,Scene,1950,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"In this charming romantic comedy, Gillian, a modern-day witch, casts a spell over Shepherd, her tenant, rendering him head over heels in love with her. Gillian begins to reciprocate, which poses a challenge, because witches cannot fall in love without losing their powers.","Co-located in ""Scenes"" folder",Conversation between Gillian and Miss Holroyd,
